event,bunker_ssvid,neighbor_ssvid,event_start,event_end,mean_latitude,mean_longitude,median_distance_km,median_speed_knots,event_duration_hr
75d527c1f3ac031000eb5c95f08cac54,273357840,273290500,2018-05-01T16:00:00Z,2018-05-01T20:50:00Z,55.94996537,143.461782,0.045,0.566,4.833333333
ca483f30492973014a5edfcd6ba23cb5,273357840,273892200,2018-03-29T09:00:00Z,2018-03-29T12:00:00Z,58.38236237,153.1293313,0.043,1.391,3
2202c67bb9c37a26d6558e025728b49a,273359610,273446030,2019-05-15T18:40:00Z,2019-05-15T21:50:00Z,62.27071637,178.8688229,0.039,0.691,3.166666667
709027c352e9a50abbc34d8a28de7940,273359610,0,2017-08-20T08:40:00Z,2017-08-20T11:50:00Z,64.61274659,178.2725209,0.035,0.129,3.166666667
44246765a697856b0d338ab11326cd4e,273359610,273892200,2018-04-25T20:10:00Z,2018-04-25T23:00:00Z,61.23554094,175.0856631,0.05,0.879,2.833333333
a86344466cd1d0d4d0f2cff1c049eccb,273370920,273892200,2018-02-20T11:20:00Z,2018-02-20T14:50:00Z,57.60577318,152.1066539,0.044,0.696,3.5
5319bc9f0bb6d42180f52b15f20cfd00,273370920,273892200,2018-03-07T09:10:00Z,2018-03-07T11:50:00Z,57.39278093,151.2668579,0.043,0.717,2.666666667
d02c8f1f71d8ed16283b508360c0c736,273370920,273892200,2018-07-10T09:40:00Z,2018-07-10T13:30:00Z,61.01125037,174.5106001,0.057,0.464,3.833333333
222fc8e0be3ef15c8d384bc3e2ad1a93,273370920,273892200,2018-07-24T02:00:00Z,2018-07-24T04:30:00Z,63.48851016,179.4586649,0.051,0.033,2.5
9b708f256b668057898e47825b628971,273378580,273893400,2017-09-24T01:50:00Z,2017-09-24T05:30:00Z,48.35782307,140.8303554,0.036,0.939,3.666666667
1dde9b57917ea2d9e4534e11d94827b1,273378580,273893400,2017-03-28T12:40:00Z,2017-03-28T15:40:00Z,48.86975448,141.3405281,0.035,0.396,3
e72840ebd980f8846ec9a154e2239375,273382500,345678,2016-09-25T10:00:00Z,2016-09-25T16:30:00Z,71.61297167,150.9556573,0.018,0.007,6.5
1b42fff22d6d6d8eb2388c621dcb702b,273387400,345678,2016-08-13T13:50:00Z,2016-08-13T18:40:00Z,71.63317107,150.9990422,0.015,0.005,4.833333333
9ccb854ff59905a6f7ebf73480a9d256,273394360,273892200,2018-06-01T05:20:00Z,2018-06-01T08:40:00Z,62.22081632,179.7949088,0.04,1.194,3.333333333
5ab08342139f5725c53086ece1882c07,273394360,273848610,2018-02-17T05:40:00Z,2018-02-17T09:00:00Z,57.96438443,152.2186108,0.053,0.7,3.333333333
