event,carrier_mmsi,neighbor_mmsi,event_start,event_end,mean_latitude,mean_longitude,median_distance_km,median_speed_knots,event_duration_hr
802d411042e7cab21324f12d02f5b75f,273354740,273448750,2016-07-25T08:10:00Z,2016-07-25T21:00:00Z,63.52549299,179.3935985,0.029,0.017,12.83333333
3aa75fff3a69580ceb9918ed6992abc0,273354740,273516600,2015-04-03T00:10:00Z,2015-04-03T13:50:00Z,56.78758186,150.0395889,0.032,0.367,13.66666667
76e3fe933624b9fa81d2806cbe0bb116,273354740,273619100,2012-07-03T03:00:00Z,2012-07-03T23:20:00Z,59.80095904,164.431663,0.022,0.01,20.33333333
866974ff5ece8be56190266f531c3b4e,273354740,273810710,2016-05-03T15:50:00Z,2016-05-03T19:00:00Z,59.64703837,156.6099292,0.114,0.808,3.166666667
02e3dad0f71df54d8cac3f87d1cd215b,273354740,273810710,2018-01-08T02:50:00Z,2018-01-08T13:20:00Z,57.73875538,150.5572871,0.11,0.807,10.5
8a18a91175e0dcb819a65526b6580a50,273354740,273811020,2013-10-06T17:20:00Z,2013-10-06T19:40:00Z,52.06316012,143.5270627,0.049,0.617,2.333333333
ad4052931089cc20bc820a3bf9127b7d,273354740,273811020,2017-12-22T23:10:00Z,2017-12-23T03:10:00Z,58.61064703,151.0645149,0.03,0.868,4
1269dbb9a9c41e0f55e035b492527a9b,273354740,273811020,2012-05-18T01:30:00Z,2012-05-18T10:40:00Z,54.16521263,144.2334469,0.046,0.344,9.166666667
b096bf593e7362c7ee7268d11e376844,273354740,273811020,2013-04-03T15:00:00Z,2013-04-03T19:50:00Z,41.13824489,139.5406704,0.038,1.856,4.833333333
cf2efdbb158320dab4a9e969117be6c6,273354740,273811060,2017-02-03T17:40:00Z,2017-02-04T00:00:00Z,56.80137269,150.3294083,0.029,0.89,6.333333333
f910c051e338a2df803a68e1a3a64d98,273354740,273811060,2018-10-18T12:00:00Z,2018-10-19T09:00:00Z,43.83066172,146.0572529,0.075,0.369,21
7ca8376496e6e59f0901cd9eb92c9064,273354740,273811060,2019-04-11T03:10:00Z,2019-04-11T12:00:00Z,57.15191238,148.9476275,0.062,0.679,8.833333333
f0cb1dce7ac622c06be8c3b9f0967ff7,273354740,273812510,2018-04-01T15:10:00Z,2018-04-02T06:50:00Z,56.80737155,150.4124703,0.051,0.49,15.66666667
b6c0f2efda7a64b5d8ff4e2d2291c244,273354740,273815070,2014-11-08T05:10:00Z,2014-11-08T09:20:00Z,42.56782228,133.7121327,0.026,1.191,4.166666667
0edba4a10779d7a5f19582186d9f7230,273354740,273822810,2019-07-12T11:30:00Z,2019-07-13T13:30:00Z,59.16868019,163.385548,0.03,0.023,26
a533273a7e885499bf09bc52cf887d77,273354740,273822810,2019-07-19T23:00:00Z,2019-07-20T21:20:00Z,59.5324124,163.315,0.026,0.017,22.33333333
2ba65613ebdd48448aae3c89decbb214,273354740,273825600,2017-01-29T04:40:00Z,2017-01-29T11:30:00Z,57.29876351,149.0292398,0.039,1.188,6.833333333
a9211d6c7c857c8b2a20a7a1d9be827e,273354740,273825600,2017-03-17T21:10:00Z,2017-03-18T01:50:00Z,58.59583429,154.0138392,0.053,1.22,4.666666667
3630ef1392e3f407cc8831aa3767f739,273354740,273825600,2017-02-02T17:30:00Z,2017-02-02T20:50:00Z,56.84068662,150.2018162,0.03,0.319,3.333333333
1ced67e40f6120c3e6d3c4411dd003da,273354740,273826220,2018-04-02T12:40:00Z,2018-04-02T22:40:00Z,56.89938978,150.2326312,0.041,0.574,10
9fe81fc477f0e8b273b3550591da60ba,273354740,273826220,2018-03-04T08:40:00Z,2018-03-04T17:40:00Z,57.4464933,150.2494902,0.034,0.532,9
f1b96cce0641d30c26515c94ad6fbc51,273354740,273826220,2017-01-29T04:20:00Z,2017-01-29T13:40:00Z,57.25083747,149.0623821,0.031,0.735,9.333333333
80eb1aabb9e91b2defe4e28aba758578,273354740,273826220,2019-03-09T12:40:00Z,2019-03-09T23:10:00Z,54.81580819,153.4109805,0.021,0.645,10.5
49cb0f737416b1e185089fa46404a793,273354740,273826600,2017-01-31T02:50:00Z,2017-01-31T11:20:00Z,57.09437846,149.1802019,0.033,0.298,8.5
ea1b86d42be07e8c0765ba71bf9f6095,273354740,273826600,2017-03-14T17:40:00Z,2017-03-15T07:20:00Z,57.46649858,155.148685,0.065,1.102,13.66666667
807d28261c0cda2f08ec7c95a5276d44,273354740,273826600,2018-02-28T09:00:00Z,2018-02-28T16:50:00Z,57.5717786,150.1147564,0.04,1.113,7.833333333
4a49d2cf93d5e653d79f6be6137663ef,273354740,273828100,2018-03-30T21:40:00Z,2018-03-31T04:40:00Z,56.50928554,151.5477399,0.025,0.637,7
7760ef48e773ed2346d147c7283d79da,273354740,273828100,2019-03-07T01:20:00Z,2019-03-07T11:30:00Z,55.16517825,154.2464063,0.035,1.529,10.16666667
db1914d67101e3f952952c8c36ac6203,273354740,273828100,2018-02-26T07:20:00Z,2018-02-26T14:50:00Z,57.74757186,150.5654142,0.042,1.152,7.5
d323852eb01485823e227015dafbe347,273354740,273829100,2019-03-06T11:50:00Z,2019-03-06T15:40:00Z,55.25692223,154.2970137,0.054,0.884,3.833333333
af3b4999e87f4e7a324ac4ca745f7021,273354740,273829100,2018-04-10T22:40:00Z,2018-04-11T01:00:00Z,57.78263703,148.9889322,0.067,0.644,2.333333333
77f0ecad38b1e04c85fdf45a21a664e3,273354740,273829100,2018-04-02T07:00:00Z,2018-04-02T13:10:00Z,56.86072299,150.304782,0.025,0.608,6.166666667
989b954416fafc8bd340b8bcfe0c6a0c,273354740,273829100,2018-02-27T15:40:00Z,2018-02-27T19:50:00Z,57.74674678,150.5437272,0.024,0.912,4.166666667
e7259e6323d8f42f702c5072d447fb2f,273354740,273844910,2013-08-02T11:20:00Z,2013-08-02T14:30:00Z,52.44915686,158.5290085,0.032,0.057,3.166666667
892280809628f5a64c9ad89bf2345942,273354740,273845900,2019-02-25T08:50:00Z,2019-02-25T12:20:00Z,51.07966592,155.920172,0.046,1.449,3.5
af225e465b136c223dee7929ea546d0e,273354740,273845900,2019-04-10T14:40:00Z,2019-04-10T17:40:00Z,57.01881885,148.9056818,0.055,0.672,3
a1442ec96540abb448894296cb7256f3,273354740,273847410,2017-05-05T19:10:00Z,2017-05-06T02:00:00Z,58.13742722,151.5404958,0.046,1.122,6.833333333
dcfd9ad7946ca1ea4f08fd18dde6a25e,273354740,273847700,2019-07-21T01:40:00Z,2019-07-22T03:10:00Z,59.53205719,163.3165005,0.031,0.015,25.5
f14bbc8938e4bf6b7394dc3052f92a4d,273354740,273854000,2019-10-24T01:20:00Z,2019-10-25T01:20:00Z,43.80031976,146.032155,0.184,0,24
8f68b00c05bc01bbc5658e4a5311fb72,273354740,273873400,2019-04-13T02:10:00Z,2019-04-15T09:50:00Z,52.59467308,155.8116387,0.039,0.021,55.66666667
9fcfa6a85a5c6bdb023cc8e64def6e8e,273354740,273873400,2016-11-14T21:20:00Z,2016-11-15T05:00:00Z,59.12620378,144.6374631,0.023,0.861,7.666666667
bd8c143401dda3c64a40aeb6579d9ea9,273354740,273873400,2018-02-27T07:20:00Z,2018-02-27T16:00:00Z,57.78120161,150.7186792,0.055,1.173,8.666666667
1f9ebe672e162e8227b44cd9dfe8ebc6,273354740,273873400,2018-02-28T17:10:00Z,2018-02-28T21:50:00Z,57.46714808,150.134063,0.054,1.227,4.666666667
c9e782bb207a0c000ed4f00a6ca1655a,273354740,273873500,2016-04-25T09:50:00Z,2016-04-25T22:40:00Z,56.80606203,151.7298736,0.006,0.659,12.83333333
f8670453a2ff5f552652cea7760132c2,273354740,273877000,2018-04-11T03:50:00Z,2018-04-11T07:20:00Z,57.84062115,149.1979358,0.018,0.649,3.5
